zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
780,18.10417,-66.57174,Coto Laurel,PR,Puerto Rico,1,,11653,264.8,72113,Ponce,"{'72075': 4.46, '72113': 95.54}",Ponce|Juana Díaz,72113|72075,False,0,America/Puerto_Rico
782,18.22544,-66.22216,Comerio,PR,Puerto Rico,1,,18229,279.7,72045,Comerío,{'72045': 100},Comerío,72045,False,0,America/Puerto_Rico
783,18.3041,-66.32847,Corozal,PR,Puerto Rico,1,,33372,337.3,72047,Corozal,{'72047': 100},Corozal,72047,False,0,America/Puerto_Rico
784,18.00543,-66.13391999999999,Guayama,PR,Puerto Rico,1,,40685,310.2,72057,Guayama,{'72057': 100},Guayama,72057,False,0,America/Puerto_Rico
786,18.15536,-66.22991999999999,La Plata,PR,Puerto Rico,1,,348,535.8,72009,Aibonito,{'72009': 100},Aibonito,72009,False,0,America/Puerto_Rico
791,18.14069,-65.818,Humacao,PR,Puerto Rico,1,,48569,558.0,72069,Humacao,{'72069': 100},Humacao,72069,False,0,America/Puerto_Rico
794,18.20155,-66.30872,Barranquitas,PR,Puerto Rico,1,,28755,334.6,72019,Barranquitas,"{'72019': 99.13, '72043': 0.29, '72045': 0.59}",Barranquitas|Comerío|Coamo,72019|72045|72043,False,0,America/Puerto_Rico
795,18.05931,-66.50178000000001,Juana Diaz,PR,Puerto Rico,1,,44766,406.8,72075,Juana Díaz,{'72075': 100},Juana Díaz,72075,False,0,America/Puerto_Rico
901,18.465320000000002,-66.10485,San Juan,PR,Puerto Rico,1,,6536,2792.2,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
906,18.46446,-66.09499,San Juan,PR,Puerto Rico,1,,184,485.0,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
907,18.453129999999998,-66.07778,San Juan,PR,Puerto Rico,1,,16202,5598.0,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
909,18.44153,-66.06723000000001,San Juan,PR,Puerto Rico,1,,4989,3940.6,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
911,18.45135,-66.05631,San Juan,PR,Puerto Rico,1,,7242,6996.3,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
912,18.445339999999998,-66.06018,San Juan,PR,Puerto Rico,1,,5455,7880.9,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
913,18.45022,-66.04267,San Juan,PR,Puerto Rico,1,,8406,11154.2,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
915,18.43691,-66.04562,San Juan,PR,Puerto Rico,1,,26131,9073.9,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
917,18.4214,-66.05005,San Juan,PR,Puerto Rico,1,,18212,6265.8,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
918,18.42138,-66.06588,San Juan,PR,Puerto Rico,1,,16063,3272.8,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
920,18.41571,-66.08889,San Juan,PR,Puerto Rico,1,,16809,2430.1,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
921,18.39224,-66.08853,San Juan,PR,Puerto Rico,1,,33394,5452.9,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
923,18.40953,-66.03866,San Juan,PR,Puerto Rico,1,,24028,5502.9,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
